p	u2_fiber_cnf	u3_augmented_cnf	u4_checked	u5_checked	u6_checked	u7_checked	status
47	UNSAT	UNSAT	208104	37214	1311	23	closed
53	UNSAT	UNSAT	304460	53976	1677	26	closed
59	UNSAT	UNSAT	421312	75139	2088	29	closed
61	UNSAT	UNSAT	525180	83260	2235	30	closed
67	UNSAT	UNSAT	699996	111089	2706	33	closed
71	UNSAT	UNSAT	764960	132720	3045	35	closed
73	UNSAT	UNSAT	943416	144516	3222	36	closed
79	UNSAT	UNSAT	1086696	184054	3783	39	closed
83	UNSAT	UNSAT	1192772	214061	4182	41	closed
89	UNSAT	UNSAT	1457544	264924	4818	44	closed
97	UNSAT	UNSAT	1959168	344464	5736	48	closed
