p	s_size	t_size	u_size	matches_published
47	29417	23966	0	yes
53	4888	1976	0	yes
59	58435	4524	0	yes
61	30645	3900	0	yes
67	40128	3366	0	yes
71	13125	840	0	yes
73	151182	4896	0	yes
79	17238	858	0	yes
83	92004	1066	0	yes
89	11363	616	0	yes
97	23904	384	0	yes
101	63675	600	0	yes
103	40392	408	0	yes
107	8427	106	0	yes
109	143937	540	0	yes
113	47509	336	0	yes
127	72009	630	0	yes
131	16250	390	0	yes
137	30872	136	0	yes
139	13041	276	0	yes
149	9731	148	0	yes
151	5025	150	0	yes
157	5616	156	0	yes
163	23814	486	0	yes
167	3818	166	0	yes
173	6235	172	0	yes
179	623	178	0	yes
181	8370	540	0	yes
191	4560	190	0	yes
193	1632	192	0	yes
197	1421	196	0	yes
199	7128	198	0	yes
211	2310	210	0	yes
223	444	222	0	yes
227	1469	226	0	yes
229	798	228	0	yes
233	116	232	0	yes
239	595	238	0	yes
241	360	240	0	yes
